V1,V2,V3
-81.842733871,28.663,32
-81.8091846609932,28.663,30
-81.7756354509864,28.663,43
-81.7420862409796,28.663,47
-81.7085370309728,28.663,22
-81.674987820966,28.663,17
-81.6414386109592,28.663,17
-81.6078894009524,28.663,18
-81.5743401909456,28.663,24
-81.5407909809388,28.663,35
-81.507241770932,28.663,36
-81.4736925609252,28.663,36
-81.4401433509184,28.663,29
-81.4065941409116,28.663,29
-81.3730449309048,28.663,31
-81.339495720898,28.663,27
-81.3059465108911,28.663,24
-81.2723973008844,28.663,20
-81.2388480908775,28.663,18
-81.2052988808707,28.663,20
-81.1717496708639,28.663,16
-81.1382004608571,28.663,18
-81.1046512508503,28.663,15
-81.0711020408435,28.663,12
-81.0375528308367,28.663,5
-81.0040036208299,28.663,3
-80.9704544108231,28.663,4
-80.9369052008163,28.663,4
-80.9033559908095,28.663,7
-80.8698067808027,28.663,11
-80.8362575707959,28.663,4
-80.8027083607891,28.663,-1
-80.7691591507823,28.663,2
-80.7356099407755,28.663,3
-80.7020607307687,28.663,4
-80.6685115207619,28.663,2
-80.6349623107551,28.663,-7
-80.6014131007483,28.663,-10
-80.5678638907415,28.663,-13
-80.5343146807347,28.663,-13
-80.5007654707279,28.663,-16
-80.4672162607211,28.663,-14
-80.4336670507143,28.663,-16
-80.4001178407075,28.663,-22
-80.3665686307007,28.663,-23
-80.3330194206939,28.663,-26
-80.2994702106871,28.663,-32
-80.2659210006803,28.663,-36
-80.2323717906735,28.663,-41
-80.1988225806667,28.663,-46
-80.1652733706599,28.663,-52
-80.1317241606531,28.663,-62
-80.0981749506463,28.663,-70
-80.0646257406394,28.663,-83
-80.0310765306326,28.663,-121
-79.9975273206258,28.663,-169
-79.963978110619,28.663,-216
-79.9304289006122,28.663,-269
-79.8968796906054,28.663,-316
-79.8633304805986,28.663,-362
-79.8297812705918,28.663,-413
-79.796232060585,28.663,-461
-79.7626828505782,28.663,-516
-79.7291336405714,28.663,-599
-79.6955844305646,28.663,-702
-79.6620352205578,28.663,-731
-79.628486010551,28.663,-780
-79.5949368005442,28.663,-781
-79.5613875905374,28.663,-776
-79.5278383805306,28.663,-793
-79.4942891705238,28.663,-809
-79.460739960517,28.663,-819
-79.4271907505102,28.663,-817
-79.3936415405034,28.663,-826
-79.3600923304966,28.663,-826
-79.3265431204898,28.663,-832
-79.292993910483,28.663,-830
-79.2594447004762,28.663,-836
-79.2258954904694,28.663,-834
-79.1923462804626,28.663,-829
-79.1587970704558,28.663,-832
-79.125247860449,28.663,-828
-79.0916986504422,28.663,-826
-79.0581494404354,28.663,-825
-79.0246002304286,28.663,-825
-78.9910510204218,28.663,-826
-78.957501810415,28.663,-829
-78.9239526004082,28.663,-834
-78.8904033904014,28.663,-843
-78.8568541803945,28.663,-850
-78.8233049703878,28.663,-858
-78.7897557603809,28.663,-865
-78.7562065503741,28.663,-872
-78.7226573403673,28.663,-878
-78.6891081303605,28.663,-885
-78.6555589203537,28.663,-892
-78.6220097103469,28.663,-899
-78.5884605003401,28.663,-906
-78.5549112903333,28.663,-912
-78.5213620803265,28.663,-918
-78.4878128703197,28.663,-925
-78.4542636603129,28.663,-931
-78.4207144503061,28.663,-937
-78.3871652402993,28.663,-943
-78.3536160302925,28.663,-948
-78.3200668202857,28.663,-953
-78.2865176102789,28.663,-959
-78.2529684002721,28.663,-964
-78.2194191902653,28.663,-969
-78.1858699802585,28.663,-975
-78.1523207702517,28.663,-981
-78.1187715602449,28.663,-987
-78.0852223502381,28.663,-992
-78.0516731402313,28.663,-997
-78.0181239302245,28.663,-1000
-77.9845747202177,28.663,-1009
-77.9510255102109,28.663,-1019
-77.9174763002041,28.663,-1022
-77.8839270901973,28.663,-1025
-77.8503778801905,28.663,-1028
-77.8168286701837,28.663,-1034
-77.7832794601769,28.663,-1033
-77.7497302501701,28.663,-1029
-77.7161810401633,28.663,-1027
-77.6826318301565,28.663,-1025
-77.6490826201497,28.663,-1025
-77.6155334101428,28.663,-1027
-77.581984200136,28.663,-1034
-77.5484349901293,28.663,-1033
-77.5148857801224,28.663,-1029
-77.4813365701156,28.663,-1029
-77.4477873601088,28.663,-1036
-77.414238150102,28.663,-1045
-77.3806889400952,28.663,-1036
-77.3471397300884,28.663,-1016
-77.3135905200816,28.663,-1020
-77.2800413100748,28.663,-1046
-77.246492100068,28.663,-1068
-77.2129428900612,28.663,-1069
-77.1793936800544,28.663,-1066
-77.1458444700476,28.663,-1071
-77.1122952600408,28.663,-1070
-77.078746050034,28.663,-1076
-77.0451968400272,28.663,-1089
-77.0116476300204,28.663,-1106
-76.9780984200136,28.663,-1124
-76.9445492100068,28.663,-1151
-76.911,28.663,-1182
-76.8774507899932,28.663,-1211
-76.8439015799864,28.663,-1253
-76.8103523699796,28.663,-1293
-76.7768031599728,28.663,-1328
-76.743253949966,28.663,-1356
-76.7097047399592,28.663,-2143
-76.6761555299524,28.663,-3651
-76.6426063199456,28.663,-4772
-76.6090571099388,28.663,-5036
-76.575507899932,28.663,-5022
-76.5419586899252,28.663,-5013
-76.5084094799184,28.663,-5009
-76.4748602699116,28.663,-5004
-76.4413110599048,28.663,-4990
-76.407761849898,28.663,-4987
-76.3742126398912,28.663,-4991
-76.3406634298843,28.663,-4995
-76.3071142198775,28.663,-4993
-76.2735650098707,28.663,-4991
-76.2400157998639,28.663,-4988
-76.2064665898571,28.663,-4990
-76.1729173798503,28.663,-4996
-76.1393681698435,28.663,-4996
-76.1058189598367,28.663,-4993
-76.0722697498299,28.663,-4991
-76.0387205398231,28.663,-4995
-76.0051713298163,28.663,-4985
-75.9716221198095,28.663,-4989
-75.9380729098027,28.663,-4995
-75.9045236997959,28.663,-4994
-75.8709744897891,28.663,-4990
-75.8374252797823,28.663,-4989
-75.8038760697755,28.663,-4992
-75.7703268597687,28.663,-4995
-75.7367776497619,28.663,-4994
-75.7032284397551,28.663,-4995
-75.6696792297483,28.663,-5000
-75.6361300197415,28.663,-5006
-75.6025808097347,28.663,-5003
-75.5690315997279,28.663,-4998
-75.5354823897211,28.663,-4993
-75.5019331797143,28.663,-4994
-75.4683839697075,28.663,-4992
-75.4348347597007,28.663,-4988
-75.4012855496939,28.663,-4987
-75.3677363396871,28.663,-4989
-75.3341871296803,28.663,-4987
-75.3006379196735,28.663,-4978
-75.2670887096667,28.663,-4981
-75.2335394996599,28.663,-4977
-75.1999902896531,28.663,-4947
-75.1664410796462,28.663,-4923
-75.1328918696395,28.663,-4919
-75.0993426596326,28.663,-4918
-75.0657934496258,28.663,-4917
-75.032244239619,28.663,-4930
